iter	Passed	Remaining
402	11615	17207
403	11643	17177
404	11674	17150
405	11704	17124
406	11734	17096
407	11762	17067
408	11792	17040
409	11821	17011
410	11849	16981
411	11878	16952
412	11907	16924
413	11937	16896
414	11966	16867
415	11997	16841
416	12027	16815
417	12054	16784
418	12083	16754
419	12111	16725
420	12140	16697
421	12169	16667
422	12197	16637
423	12224	16607
424	12254	16579
425	12282	16549
426	12310	16519
427	12338	16489
428	12368	16462
429	12397	16433
430	12425	16404
431	12454	16374
432	12482	16345
433	12510	16315
434	12539	16286
435	12568	16258
436	12597	16229
437	12624	16198
438	12652	16168
439	12680	16138
440	12709	16110
441	12737	16080
442	12767	16053
443	12794	16021
444	12821	15991
445	12850	15962
446	12879	15933
447	12907	15903
448	12936	15874
449	12965	15847
450	12992	15815
451	13021	15786
452	13047	15755
453	13077	15727
454	13106	15699
455	13135	15670
456	13163	15640
457	13191	15610
458	13219	15581
459	13249	15554
460	13277	15524
461	13305	15494
462	13333	15464
463	13362	15436
464	13391	15407
465	13419	15377
466	13447	15347
467	13475	15318
468	13504	15289
469	13532	15260
470	13561	15231
471	13588	15201
472	13617	15171
473	13644	15141
474	13673	15112
475	13701	15083
476	13730	15054
477	13759	15025
478	13787	14996
479	13814	14966
480	13843	14936
481	13870	14906
482	13900	14878
483	13928	14849
484	13957	14820
485	13984	14790
486	14013	14761
487	14041	14732
488	14069	14702
489	14097	14672
490	14126	14644
491	14154	14615
492	14182	14585
493	14210	14555
494	14239	14527
495	14268	14498
496	14297	14470
497	14325	14440
498	14354	14411
499	14382	14382
500	14410	14352
501	14437	14322
502	14464	14292
503	14492	14262
504	14518	14231
505	14546	14201
506	14573	14171
507	14603	14143
508	14631	14114
509	14658	14083
510	14686	14054
511	14714	14024
512	14743	13995
513	14770	13965
514	14797	13935
515	14826	13906
516	14855	13878
517	14884	13849
518	14914	13822
519	14943	13794
520	14971	13764
521	14998	13734
522	15026	13704
523	15054	13675
524	15082	13646
525	15111	13617
526	15141	13590
527	15170	13561
528	15198	13531
529	15226	13503
530	15256	13474
531	15284	13445
532	15312	13416
533	15339	13386
534	15368	13357
535	15395	13327
536	15422	13297
537	15451	13268
538	15479	13239
539	15510	13212
540	15539	13184
541	15567	13154
542	15596	13126
543	15625	13097
544	15653	13068
545	15682	13039
546	15710	13010
547	15739	12981
548	15768	12953
549	15796	12924
550	15823	12894
551	15852	12866
552	15881	12837
553	15910	12809
554	15939	12780
555	15969	12752
556	15997	12723
557	16025	12694
558	16055	12665
559	16082	12636
560	16111	12607
561	16139	12578
562	16167	12549
563	16196	12520
564	16223	12491
565	16251	12461
566	16279	12431
567	16306	12402
568	16337	12374
569	16364	12345
570	16393	12316
571	16421	12287
572	16449	12258
573	16477	12229
574	16506	12200
575	16534	12171
576	16562	12141
577	16589	12112
578	16616	12082
579	16645	12053
580	16673	12024
581	16702	11995
582	16731	11967
583	16758	11937
584	16787	11908
585	16816	11880
586	16844	11851
587	16872	11822
588	16901	11793
589	16930	11764
590	16957	11735
591	16986	11707
592	17015	11678
593	17045	11650
594	17073	11621
595	17103	11593
596	17131	11564
597	17159	11535
598	17187	11506
599	17214	11476
600	17242	11447
601	17270	11417
602	17298	11389
603	17327	11360
604	17355	11331
605	17383	11302
606	17411	11272
607	17440	11244
608	17467	11215
609	17495	11185
610	17523	11156
611	17551	11127
612	17580	11098
613	17607	11069
614	17635	11040
615	17664	11011
616	17692	10982
617	17722	10954
618	17750	10925
619	17780	10897
620	17809	10868
621	17837	10839
622	17866	10811
623	17894	10782
624	17923	10753
625	17952	10725
626	17980	10696
627	18008	10667
628	18040	10640
629	18070	10612
630	18103	10586
631	18132	10558
632	18162	10530
633	18192	10502
634	18221	10473
635	18251	10445
636	18282	10418
637	18313	10391
638	18344	10363
639	18377	10337
640	18407	10309
641	18439	10282
642	18472	10256
643	18504	10229
644	18534	10201
645	18563	10172
646	18591	10143
647	18619	10114
648	18649	10086
649	18678	10057
650	18706	10028
651	18736	10000
652	18765	9971
653	18792	9942
654	18820	9912
655	18850	9884
656	18878	9855
657	18907	9827
658	18936	9798
659	18963	9769
660	18993	9741
661	19022	9712
662	19050	9683
663	19077	9653
664	19105	9624
665	19133	9595
